school_name,update_date,recommend_project,recommended_types,recommend_mgr_swap,visitor
Fawotrikosie,2024-10-15,Yes,NA,NA,"Richard, Alex"
Nwawasua MA,2024-10-09,Yes,NA,NA,"Richard, Alex"
Kurasua #1 MA,2024-10-09,Yes,NA,NA,"Richard, Alex"
Old Konkompe,2024-10-07,Yes,NA,NA,"Richard, Alex"
Watro (Watroso),2024-10-07,Yes,NA,NA,"Richard, Alex"
Nwowom,2024-10-07,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,"Richard, Peace"
Obelemanya,2024-10-02,Yes,NA,NA,"Richard, Peace"
Tsledom,2024-10-02,Yes,NA,NA,"Richard, Alex"
Yorogo-Asorogobisi,2024-10-01,Yes,NA,NA,"Alex,Peace"
Akyeremanteng,2024-10-01,Yes,NA,NA,"Alex, Richard, Peace"
Yonguase,2024-10-01,Yes,NA,NA,"Richard, Alex"
Anamenampa,2024-09-27,Yes,NA,NA,"Richard,Peace"
Attabui,2024-09-27,Yes,NA,NA,Alex
Nyapienya,2024-09-27,Yes,NA,NA,Richard
Dedenya,2024-09-27,Yes,NA,NA,Richard
Akwansu,2024-09-27,Yes,NA,NA,Alex
Obosonu,2024-09-27,Yes,NA,NA,Alex
Adenya,2024-09-27,Yes,NA,NA,Richard
Mampong Shai,2024-09-27,Yes,NA,NA,Richard
Anamenampa,2024-09-27,Yes,NA,NA,Alex
Adenya,2024-09-26,Yes,NA,NA,"Richard,Alex,Peace"
Attabui,2024-09-26,Yes,NA,NA,"Richard,Alex,Peace"
Akwansu,2024-09-26,Yes,NA,NA,"Richard,Alex,Peace"
Obosonu,2024-09-26,Yes,NA,NA,"Richard,Alex"
Nyapienya,2024-09-25,Yes,NA,NA,"Richard,Alex,Peace"
Mampong Shai,2024-09-25,Yes,NA,NA,"Richard,Alex,Peace"
Dedenya,2024-09-25,Yes,NA,NA,"Richard,Alex,Peace"
Minya,2024-09-18,Yes,NA,NA,"Isaac,Richard,Peace"
Azizakpem,2024-09-17,Yes,NA,NA,"Isaac,Richard,Peace"
Alorkpem Island,2024-09-17,Yes,NA,NA,"Isaac,Richard,Alex"
Pediatorkope,2024-09-17,Yes,NA,NA,"Isaac,Richard,Peace"
Amuyaokope,2024-09-16,Yes,NA,NA,Other
Luta,2024-09-16,Yes,NA,NA,NA
Madavunu,2024-09-16,Yes,NA,NA,NA
Terhey,2024-09-16,Yes,NA,NA,NA
Gourcy Burkina Faso School,2023-12-06,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Dedenya,2023-12-06,Yes,NA,NA,George
Obelemanya,2023-11-23,Maybe in the future,NA,NA,George
Nwawasua MA,2023-11-16,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Bomigo,2023-11-16,Maybe in the future,NA,NA,George
Domase,2023-11-13,Yes,NA,NA,George
Mobia,2023-11-13,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Mamakrom,2023-11-10,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Obosonu,2023-11-09,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Akwansu,2023-11-09,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Afransua Dedewa MA Primary,2023-11-08,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Nyapienya,2023-11-01,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Ferekoroba,2023-10-27,Maybe in the future,NA,NA,Richard
Madavunu,2023-10-24,Yes,NA,NA,George
Ntomem,2023-10-24,Maybe in the future,NA,NA,Richard
Dedewa,2023-10-24,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Begoro,2023-10-24,Maybe in the future,NA,NA,Richard
Ador Kope R/C Primary,2023-10-24,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Dedenya,2023-10-23,Maybe in the future,NA,NA,George
Mampong Shai,2023-10-23,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Minya,2023-10-23,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Pediatorkope,2023-10-20,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Community 3,2023-10-11,Maybe in the future,NA,NA,George
Community 9,2023-10-11,Maybe in the future,NA,NA,George
Wangarakrom,2023-10-10,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Wangarakrom,2023-05-25,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Mansokwa,2023-04-19,Maybe in the future,NA,NA,Richard
Madavunu,2023-04-14,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,Richard
Terhey,2023-04-14,Maybe in the future,NA,NA,Richard
Amuyaokope,2023-04-12,Maybe in the future,NA,NA,Richard
Luta,2023-04-12,Maybe in the future,NA,NA,Richard
Bomigo,2023-03-22,Yes,NA,NA,Richard
Akwansu,2023-03-14,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,Richard
Yonguase,2023-03-02,Maybe in the future,NA,NA,Richard
Ntomem,2023-02-20,Maybe in the future,NA,NA,Isaac
Attabui,2023-02-20,Yes,NA,NA,Richard
Adenya,2023-02-20,Maybe in the future,NA,NA,Richard
Bepotumtum,2023-02-15,Yes,NA,NA,Richard
Wekpeti Abresu,2023-02-14,Maybe in the future,NA,NA,Richard
Ekorso Akwadum,2023-02-14,Maybe in the future,NA,NA,Richard
Ntomem,2022-10-06,Yes,NA,NA,Richard
Akwansu,2022-06-23,Yes,NA,NA,Richard
Bepotumtum,2022-06-21,Maybe in the future,NA,NA,Richard
Ekorso Akwadum,2022-06-20,Yes,NA,NA,Richard
Adenya,2022-06-16,Yes,NA,NA,Richard
Attabui,2022-06-15,Maybe in the future,NA,NA,Richard
Amuyaokope,2022-06-07,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,Richard
Terhey,2022-06-07,Maybe in the future,NA,NA,Richard
Wekpeti Abresu,2021-10-18,Maybe in the future,NA,NA,Richard
Ekorso Akwadum,2021-10-18,Maybe in the future,NA,NA,Richard
Nyapienya,2020-03-03,Maybe in the future,NA,NA,Richard
Adenya,2020-02-11,Maybe in the future,NA,NA,Richard
Attabui,2020-02-11,Maybe in the future,NA,NA,Richard
Ntomem,2020-01-24,Maybe in the future,NA,NA,Richard
Abrenya,2020-01-22,Maybe in the future,NA,NA,Richard
Wekpeti Abresu,2020-01-21,Maybe in the future,NA,NA,Richard
Bepotumtum,2020-01-20,Maybe in the future,NA,NA,Richard
Kpala Private,2020-01-16,Maybe in the future,NA,NA,Richard
Zippo Nyuinyui,2020-01-15,Maybe in the future,NA,NA,Richard
Ador Kope R/C Primary,2020-01-14,Maybe in the future,NA,NA,Richard
Essam,2019-11-05,Maybe in the future,NA,NA,Richard
Akyeremanteng,2019-10-23,Maybe in the future,NA,NA,Richard
Terhey,2019-10-18,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Madavunu,2019-10-18,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Mansokwa,2019-10-15,Maybe in the future,NA,NA,Richard
Fawotrikosie,2019-10-10,Maybe in the future,NA,NA,George
Galalia,2019-10-10,Maybe in the future,NA,NA,Richard
Pediatorkope,2019-10-08,Maybe in the future,NA,NA,Richard
Amuyaokope,2019-10-07,Maybe in the future,NA,NA,Richard
Tun Tun,2019-10-04,Maybe in the future,NA,NA,Richard
Wurudu Wurudu,2019-10-04,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Mosipanin,2019-10-04,Maybe in the future,NA,NA,Richard
Adenya,2019-09-30,Maybe in the future,NA,NA,Richard
Bepotumtum,2019-09-26,Maybe in the future,NA,NA,Richard
Bahankra,2019-09-25,Maybe in the future,NA,NA,Richard
Wenamda,2019-09-24,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,Richard
Community 3,2019-09-24,Maybe in the future,NA,NA,George
Dagomba,2019-09-24,Maybe in the future,NA,NA,Richard
Wekpeti Abresu,2019-09-20,Maybe in the future,NA,NA,Richard
Afransua Dedewa MA Primary,2019-09-20,Yes,NA,NA,George
Mpaem,2019-09-19,Maybe in the future,NA,NA,Richard
Nwawasua MA,2019-09-18,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Ntomem,2019-09-16,Yes,NA,NA,Richard
Obelemanya,2019-07-04,Yes,NA,NA,Other
Adenya,2019-05-27,Yes,NA,NA,Richard
Ntomem,2019-05-23,Maybe in the future,NA,NA,Richard
Tun Tun,2019-05-22,Maybe in the future,NA,NA,Richard
Mosipanin,2019-05-21,Maybe in the future,NA,NA,Richard
Essam,2019-03-25,Maybe in the future,NA,NA,Richard
Mosipanin,2019-03-21,Yes,NA,NA,Richard
Tun Tun,2019-03-21,Yes,NA,NA,Richard
Dagomba,2019-03-20,Maybe in the future,NA,NA,Richard
Adenya,2019-02-28,Maybe in the future,NA,NA,Richard
Akyeremanteng,2019-02-28,Yes,NA,NA,Richard
Attabui,2019-02-28,Maybe in the future,NA,NA,Richard
Wekpeti Abresu,2019-02-28,Maybe in the future,NA,NA,Richard
Madavunu,2019-02-28,Maybe in the future,NA,NA,Richard
Terhey,2019-02-28,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,Richard
Akyeremanteng,2019-02-01,Maybe in the future,NA,NA,Richard
Wekpeti Abresu,2019-01-29,Yes,NA,NA,Richard
Bepotumtum,2019-01-18,Maybe in the future,NA,NA,Richard
Community 3,2018-12-05,Maybe in the future,NA,NA,George
Community 9,2018-12-05,Yes,NA,NA,George
Nwowom,2018-11-14,Yes,NA,NA,George
Old Konkompe,2018-11-13,Yes,NA,NA,George
Old Konkompe,2018-11-13,Yes,NA,NA,George
Mampong Shai,2018-11-12,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Dedenya,2018-11-12,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Madavunu,2018-11-02,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Terhey,2018-11-02,Yes,NA,NA,George
Dagomba,2018-10-25,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Amuyaokope,2018-10-23,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Luta,2018-10-23,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Afransua Dedewa MA Primary,2018-10-23,Yes,NA,NA,George
Nyariga Girls' School,2018-10-22,Yes,NA,NA,Richard
Mpaem,2018-10-18,Yes,NA,NA,George
Wangarakrom,2018-07-24,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Tuanikope,2018-07-24,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Kpala Private,2018-07-13,Yes,NA,NA,Richard
Kpala Government,2018-07-13,Maybe in the future,NA,NA,Richard
Kpala Private,2018-07-13,Maybe in the future,NA,NA,Richard
Minya,2018-07-11,Yes,NA,NA,George
Azizakpem,2018-07-11,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Obani,2018-07-11,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Nyapienya,2018-07-05,Maybe in the future,NA,NA,George
Mampong Shai,2018-07-05,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Kurasua #1 MA,2018-07-05,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Nwawasua MA,2018-07-05,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Nyariga Girls' School,2018-06-20,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Ataampuutum A/B,2018-06-20,Yes,NA,NA,George
Other,2018-06-14,Yes,NA,NA,Isaac
Community 3,2018-06-13,Maybe in the future,NA,NA,George
Wangarakrom,2018-06-13,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Alorkpem Island,2018-06-13,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Attabui,2018-06-13,Maybe in the future,NA,NA,George
Bahankra,2018-06-13,Maybe in the future,NA,NA,George
Dagomba,2018-06-13,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Afransua Dedewa MA Primary,2018-06-13,Maybe in the future,NA,NA,George
Abrenya,2018-06-13,Maybe in the future,NA,NA,George
Ekorso Akwadum,2018-06-13,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,George
Fawotrikosie,2018-06-11,Maybe in the future,NA,NA,Isaac
Bahankra,2018-06-11,Maybe in the future,NA,NA,Richard
Other,2018-06-06,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,Isaac
Pediatorkope,2018-03-28,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,Isaac
Yonguase,2018-03-27,Maybe in the future,NA,NA,NA
