StartDate,Duration (in seconds),ResponseId,LocationLatitude,LocationLongitude,Q1,Q1_4_TEXT,Q1.5,Q1.5_6_TEXT,Q2,Q2_69_TEXT,Q3,Q3_5_TEXT,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q18_5_TEXT,Q18_6_TEXT,Q19,Q19_7_TEXT,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31_1,Q31_2,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q39_TEXT,Q40_1,Q81_1,Q81_2,Q81_3,Q38.5,Q38.5_4_TEXT,Q38.5.5,Q38.5.5_4_TEXT,Q79,Q79_3_TEXT,Q41,Q42,Q43,Q80,Q44,Q45,Q82,Q82_13_TEXT
9/24/2025 4:01:52,402,R_7QTbzfuxxFVgxrT,6.309029,-0.671611,Richard,NA,NA,NA,Wekpeti Abresu,NA,"Routine Check In,Survey Students,Computer Training",NA,1200,246,12,56,11,NA,58,15,NA,21,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,No,NA,N/A,N/A,No,NA,NA,NA,1-2 times in a term,3- This describes our school a little bit,3- This describes our school a little bit,"No, they need a library",Yes,"Yes, another organization or the government has given them some","Yes, another organization or the government has provided access to clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA
9/29/2025 3:58:27,3196,R_lV8ejTFM8JocRyB,5.578254,-0.881774,Richard,NA,NA,NA,Mansokwa,NA,"MGR Maintenance,Routine Check In,Survey Students,Computer Training",NA,1230,150,11,107,13,NA,54,11,NA,24,11,NA,NA,It works perfectly,NA,NA,NA,NA,No,NA,Yes,[map[Text:1 Value:3]],14,13,Yes,NA,NA,NA,1-2 times in a term,3- This describes our school a little bit,5- This describes our school,"No, they need a library","No, they need a classroom block or building for their library","Yes, another organization or the government has given them some","Yes, EPI has helped them get access to clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,"Yes, but not from EPI",NA,NA,NA,20,NA,"They received some training, but it wasn't very helpful",NA,No,NA,Yes,NA,Yes,15,20/07/2025,Yes,Yes,No,NA,NA
10/2/2025 4:49:57,160,R_3dqSEJ82AA879Jd,6.358422,-0.66243,Richard,NA,No,NA,Abrenya,NA,"MGR Maintenance,Routine Check In,Survey Students,Computer Training",NA,640,95,11,34,12,NA,28,12,NA,29,12,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-2 times in a term,3- This describes our school a little bit,3- This describes our school a little bit,"Yes, EPI has given them a library",NA,"Yes, EPI has helped build some","Yes, EPI has helped them get access to clean water","Yes, EPI has built enough classrooms for them to use",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA
10/14/2025 5:06:26,327,R_9HemqAhOLK3SnP0,7.662775,-0.991046,Richard,NA,"Richard,Alex,Peace,Other",Akuvi,Old Konkompe,NA,"MGR Maintenance,Routine Check In,Survey Students,Computer Training",NA,1020,320,10,154,11,NA,27,32,NA,24,32,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,They don't use them,1- This does not describe our school,1- This does not describe our school,"No, they need a library","No, they need a classroom block or building for their library","Yes, another organization or the government has given them some","Yes, another organization or the government has provided access to clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
10/6/2025 5:31:19,347,R_o0MJ2LSwWUFRfwm,6.849824,-1.136303,Isaac,NA,"Richard,Alex,Peace,Other",Akuvi,Bahankra,NA,"Routine Check In,Survey Students,Computer Training",NA,1200,335,17,102,24,NA,68,17,NA,22,17,NA,NA,It works perfectly,NA,NA,NA,NA,"No, but they have poles or power lines",NA,No,NA,17,17,Yes,NA,NA,NA,1-2 times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"Yes, another organization or the government has given them some","Yes, another organization or the government has provided access to clean water","Yes, EPI has built enough classrooms for them to use",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA
10/14/2025 6:25:16,727,R_3cjfRUcxt0iP5aA,7.647276,-0.966038,Richard,NA,"Richard,Alex,Peace,Other",Akuvi,Watro (Watroso),NA,"Routine Check In,Survey Students,Computer Training",NA,2500,420,15,143,52,NA,110,9,NA,24,9,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-2 times in a term,3- This describes our school a little bit,3- This describes our school a little bit,"No, they need a library",Yes,"Yes, EPI has helped build some","Yes, EPI has helped them get access to clean water","Yes, EPI has built enough classrooms for them to use",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
10/6/2025 8:18:25,224,R_kxp4ADlOy1E4hn8,6.990119,-1.099269,Richard,NA,"Alex,Peace,Other",Akuvi,Wenamda,NA,"MGR Maintenance,Routine Check In,Survey Students,Computer Training",NA,439,400,13,102,22,NA,120,21,NA,25,19,NA,NA,It works perfectly,NA,NA,NA,NA,No,NA,No,NA,15,15,NA,NA,NA,NA,1-2 times in a term,3- This describes our school a little bit,3- This describes our school a little bit,"Yes, EPI has given them a library",NA,"Yes, another organization or the government has given them some","Yes, another organization or the government has provided access to clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
10/7/2025 5:19:39,231,R_3pdOWYb4BY2O4Zi,7.125686,-0.676343,Richard,NA,"Richard,Alex,Peace,Other",Akuvi,Other:,Tuntum,"MGR Maintenance,Routine Check In,Survey Students,Computer Training",NA,569,110,17,46,6,NA,76,7,NA,11,7,NA,NA,It works perfectly,NA,NA,NA,NA,No,NA,No,NA,10,10,Yes,NA,NA,NA,1-2 times in a term,3- This describes our school a little bit,3- This describes our school a little bit,"No, they need a library","No, they need a classroom block or building for their library","Yes, EPI has helped build some","Yes, EPI has helped them get access to clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
10/6/2025 6:38:53,246,R_9FeLMdm48Tggnn7,6.865513,-1.217695,Richard,NA,"Alex,Peace,Other",Akuvi,Domase,NA,"Routine Check In,Survey Students,Computer Training",NA,1400,210,6,48,7,NA,7,N/A,NA,N/,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,No,NA,No,NA,15,15,Yes,NA,NA,NA,They don't use them,1- This does not describe our school,1- This does not describe our school,"No, they need a library","No, they need a classroom block or building for their library","Yes, EPI has helped build some","Yes, EPI has helped them get access to clean water","No, this school needs more classrooms or an upgrade to their current buildings",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA
10/7/2025 3:35:53,226,R_7ZkgXP2Ltb9Hp1w,7.122943,-0.795534,Richard,NA,"Alex,Peace,Other",Akuvi,Other:,Mosipanin,"MGR Maintenance,Routine Check In,Survey Students,Computer Training",NA,2500,292,24,58,18,NA,18,18,NA,11,18,NA,NA,It works perfectly,NA,NA,NA,NA,No,NA,Yes,NA,10,10,Yes,NA,NA,NA,1-2 times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,NA,"Yes, EPI has helped them get access to clean water","Yes, EPI has built enough classrooms for them to use",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
11/12/2025 3:25:09,967,R_5ui5bACK3c3Pr0b,5.945911,-0.327032,Alex,NA,"Peace,Akuvi",NA,Afransua Dedewa MA Primary,NA,"Routine Check In,Computer Training",NA,800,206,12,157,20,Yes,49,19,NA,Pass,19,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library","No, they need a classroom block or building for their library","No, this school needs a toilet","No, this school needs a borehole or other clean water solution","No, this school needs more classrooms or an upgrade to their current buildings",Yes,2025-05-01,"Yes, from EPI",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,The roof leaked water into the lab and caused flooding,16/09/2025,No,Yes,NA,NA,NA
11/6/2025 3:04:46,798,R_lZZG5H4yOj7GOFh,5.946206,-0.540632,Alex,NA,"Alex,Peace,Akuvi",NA,Fawotrikosie,NA,"MGR Maintenance,Survey Students,Menstrual Kit Distribution and Training",NA,700,133,6,94,12,Yes,39,10,NA,27,10,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,3 or more times in a term,5- This describes our school,5- This describes our school,"Yes, another organization or the government has given them a library",NA,"No, this school needs a toilet","Yes, EPI has helped them get access to clean water","Yes, EPI has built enough classrooms for them to use",Yes,2025-11-06,"Yes, from EPI",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,06/11/2025,No,Yes,NA,NA,NA
11/13/2025 3:10:18,801,R_oAQdt5uZIrx3384,6.024739,0.259116,Alex,NA,NA,NA,Nyienpeya,NA,"MGR Maintenance,Routine Check In,Computer Training",NA,500,230,10,194,12,Yes,36,10,NA,27,9,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,No,NA,10,10,Yes,NA,NA,Yes,3 or more times in a term,5- This describes our school,5- This describes our school,"Yes, EPI has given them a library",NA,"Yes, another organization or the government has given them some","Yes, another organization or the government has provided access to clean water","Yes, EPI has built enough classrooms for them to use",Yes,2025-08-09,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/14/2025 3:07:56,578,R_9Xm5Tz3TOyPnI5N,5.848665,0.047013,Alex,NA,NA,NA,Mampong Shai,NA,"MGR Maintenance,Routine Check In,Computer Training",NA,500,385,15,263,52,Yes,123,33,NA,24,20,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,3 or more times in a term,5- This describes our school,5- This describes our school,"Yes, EPI has given them a library",NA,"Yes, another organization or the government has given them some","Yes, another organization or the government has provided access to clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,2025-09-11,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/27/2025 5:29:49,0,R_13ScTaesfS9euVb,6.155074,-0.329501,Richard,NA,Akuvi,NA,Mpaem,NA,Other,NA,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/30/2025 6:23:01,0,R_0Nc0uclb8l8i69L,6.158706,-0.338186,Richard,NA,No,NA,Mpaem,NA,Computer Training,NA,1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/14/2025 4:07:41,710,R_25yML60l1fJ4Wvd,5.862957,0.031883,Alex,NA,Alex,NA,Dedenya,NA,"Routine Check In,Computer Training",NA,2500,490,17,287,56,Yes,142,42,NA,23,30,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1-2 times in a term,5- This describes our school,5- This describes our school,"Yes, EPI has given them a library",NA,"Yes, another organization or the government has given them some","Yes, another organization or the government has provided access to clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,2025-09-11,"Yes, from EPI",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,09/11/2025,No,Yes,NA,NA,NA
2025-10-29 7:03:25,808,R_kRLn0rPV9S1Woa6,5.5545,-0.1902,Richard,NA,"Alex, Akuvi, Other",Larry,NA,NA,"Survey Students, Computer Training",NA,2600,427,29,174,39,Yes,95,36,NA,13,36,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1-2 times in a term,3- This describes our school a little bit,3- This describes our school a little bit,"Yes, EPI has given them a library",NA,"Yes, another organization or the government has given them some","Yes, another organization or the government has provided access to clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,20/10/25,"Yes, from EPI",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,28/10/2025,Yes,Yes,NA,NA,NA
2026-01-22 4:05:25,776,R_aBNUG75panH2DzG,5.5545,-0.1902,Alex,NA,"Peace, Akuvi",NA,Mamakrom,NA,Routine Check In,NA,101,300,15,200,30,Yes,65,13,13,18,12,NA,Original Power Generating MGR,It works perfectly,NA,NA,NA,NA,Yes,"Yes, some students are still using lanterns powered by the MGR",Yes,6,10,8,Yes,NA,NA,Yes,3 or more times in a term,5- This describes our school,5- This describes our school,"Yes, another organization or the government has given them a library",NA,"Yes, another organization or the government has given them some","Yes, another organization or the government has provided access to clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,3 months,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
2025-11-27 4:32:50,668,R_jfk1TqpJiJrDG4L,5.5545,-0.1902,Alex,NA,NA,NA,NA,NA,"MGR Maintenance, Routine Check In",NA,700,112,14,43,14,Yes,45,19,NA,29,19,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,No,NA,5,5,Yes,NA,NA,Yes,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"Yes, another organization or the government has given them some","Yes, another organization or the government has provided access to clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,September,"Yes, from EPI",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,10/09/2025,No,Yes,NA,NA,NA
2026-01-27 5:44:09,404,R_4iWKygVQVSwGA8r,5.5545,-0.1902,Richard,NA,NA,NA,NA,NA,Menstrual Kit Distribution and Training,NA,2200,243,18,215,11,Yes,28,13,NA,11,11,NA,NA,"The merry go round works well, but the charging station and solar panels have problems",NA,NA,NA,NA,"No, but they have poles or power lines",NA,No,NA,10,10,Yes,NA,NA,Yes,1-2 times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"No, this school needs a toilet","Yes, EPI has helped them get access to clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-01-27 3:48:09,370,R_6rnl4EIo8jFtpzI,5.5545,-0.1902,Richard,NA,NA,NA,NA,NA,MGR Maintenance,NA,820,150,16,120,6,Yes,21,7,NA,11,11,NA,NA,It works perfectly,NA,NA,NA,NA,"No, but they have poles or power lines",NA,No,NA,10,10,Yes,NA,NA,Yes,1-2 times in a term,3- This describes our school a little bit,3- This describes our school a little bit,"No, they need a library","No, they need a classroom block or building for their library","Yes, another organization or the government has given them some","Yes, EPI has helped them get access to clean water","No, this school needs more classrooms or an upgrade to their current buildings",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/26/24 3:05,NA,NA,NA,NA,"Richard,Alex,Peace",NA,NA,NA,Attabui,NA,"Routine Program Evaluation,Project Update Visit",NA,500,200,17,64,20,NA,61,20,NA,N/A,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"Yes, EPI has given them a library",NA,"Yes, another organization or the government has given them some","Yes, another organization or the government has given them something to provide clean water","Yes, EPI has built enough classrooms for them to use",Yes,NA,Yes,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,13/09/2024,NA,Yes,Yes,NA,NA
9/25/24 4:05,NA,NA,NA,NA,"Richard,Alex,Peace",NA,NA,NA,Nyienpeya,NA,"Routine Program Evaluation,Project Update Visit",NA,1500,190,10,31,15,NA,31,6,NA,N/A,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,No,NA,11,11,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"Yes, EPI has given them a library",NA,"Yes, EPI has helped build some","No, this school needs a borehole or other clean water solution","No, this school needs more classrooms or an upgrade to their current buildings",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA
9/25/24 7:12,NA,NA,NA,NA,"Richard,Alex,Peace",NA,NA,NA,Dedenya,NA,"Routine Program Evaluation,Project Update Visit",NA,4000,478,16,159,57,NA,165,42,NA,N/A,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"Yes, EPI has given them a library",NA,"Yes, EPI has helped build some","Yes, another organization or the government has given them something to provide clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA
