StartDate,Duration (in seconds),ResponseId,LocationLatitude,LocationLongitude,Q1,Q1_6_TEXT,Q1.5,Q1.5_6_TEXT,Q95,Q3,Q3_6_TEXT,Q4,Q4_6_TEXT,Q5,Q5_4_TEXT,Q6,Q6.5,Q7,Q8,Q9,Q10,Q10_4_TEXT,Q11,Q11_5_TEXT,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q26,Q27,Q28,Q93
2026-01-14 1:15:58,315,R_jWReEsfYigha4CD,5.5545,-0.1902,Richard,NA,NA,NA,Abrenya,"Routine Visit, Other:",Initiate the process of building a computer Lab,"Routine Visit, Student Survey Team Visit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,They are doing well in maintaining all projects given to them. Especially making sure the classroom built for them are in good shape,The use of science kits. Due to new curriculum requirements they are not using the kits as expected,I met with the Headmaster and the SMC chairman to finds ways to improve the use.,The school is doing well in academics. Since they got electricity recently. The school has wired all classroom with light and are doing night studies for the students who stay in close proximity
2026-01-19 3:17:05,70,R_h3F0PG1d4qj2Bfs,5.5545,-0.1902,Alex,NA,"Alex, Peace",NA,Akwansu,"Menstrual Kit Distribution, Science Kit Training/Distribution",NA,"Routine Visit, Menstrual Kit Distribution, Science Kit Training/Distribution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Yes,4,Yes,5,NA,NA,NA,NA
2026-01-19 3:04:57,335,R_dGmIZOuEr8p9tfz,5.5545,-0.1902,Alex,NA,"Peace, Akuvi",NA,Akwansu,Routine Visit,NA,"Routine Visit, Science Kit Training/Distribution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,4,Yes,4,They are doing well with all our programs,None,"New charging stations because the JHS is far from the primary school block, we are in process of building a new charging station for the school",None
2026-01-14 3:47:05,325,R_8pQuHFN2akQNH6L,5.5545,-0.1902,Alex,NA,Akuvi,NA,Adenya,Routine Visit,NA,"MGR/Charging Maintenance, Science Kit Training/Distribution",NA,"It wasn't spinning properly, The charging station/solar needed to be fixed",NA,"Yes, all problems were resolved",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,3,All the programs are doing well,Light,No,They are doing well
2026-01-14 2:42:03,425,R_0ldWBh5NHVLyAt9,5.5545,-0.1902,Alex,NA,Akuvi,NA,Attabui,Routine Visit,NA,"Computer Maintenance, Science Kit Training/Distribution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The RACHEL was not functioning,NA,"Yes, but I had to replace the RACHEL",NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,2,All our programs are doing well,Space for Library,No,There is a new head master
2026-01-19 3:44:51,1098,R_o0evBAwdBdYK0JO,5.5545,-0.1902,Alex,NA,"Alex, Peace",NA,Obosonu,Routine Visit,NA,"Routine Visit, Computer Maintenance, Menstrual Kit Distribution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, it is all functioning",NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,All the programs are doing well,None,No,None
2026-01-15 2:03:23,790,R_5BnzL8NYwjxRWvX,5.5545,-0.1902,Alex,NA,Akuvi,NA,Luta,Routine Visit,NA,"Routine Visit, MGR/Charging Maintenance",NA,Other:,Broken leg,"No, I need other supplies and will have to come back another day",NA,Then whole system  needs to dismantle and taken to welding shop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,They are doing well with all our programs,None,None,No
2026-01-15 1:25:13,242,R_2xsc9HUyeyhTE9l,5.5545,-0.1902,Alex,NA,Akuvi,NA,Madavunu,Routine Visit,NA,"Routine Visit, MGR/Charging Maintenance, Lantern Replacement, Science Kit Training/Distribution",NA,The charging station/solar needed to be fixed,NA,"Yes, all problems were resolved",No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,1,All the problems,N/A,N/A,Every thing is going on well
2026-01-19 4:52:05,144,R_cfOQgJbxIO0Giju,5.5545,-0.1902,Alex,NA,"Peace, Akuvi",NA,Akwansu,Routine Visit,NA,"MGR/Charging Maintenance, Menstrual Kit Distribution",NA,Other:,Repositioning,"Yes, all problems were resolved",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,All of our programs,None,None,None
2026-01-15 3:01:20,184,R_a7QbeVxIVMGR7fw,5.5545,-0.1902,Alex,NA,Akuvi,NA,Amuyaokope,Routine Visit,NA,Routine Visit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,All our programs are doing well,None,No,They were using the science kits to learn about electronics and electricals
2026-01-19 2:26:31,1085,R_eluNSmjS8tqNwGW,5.5545,-0.1902,Richard,NA,Richard,NA,Mepotumtum,"Computer Maintenance, Student Survey Team Visit",NA,"Routine Visit, Computer Maintenance, Student Survey Team Visit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"One or more computers were not working/turning on, One or more computers would not connect to the RACHEL",NA,"Yes, it is all functioning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The use of the Rachel device has improved. The usage of the science kits and its related applications is very well commendable. This has drawn the attention of the district office to provide them with more science related TLMs,"Due to insufficient teachers, some classes are combined.",Leakage at the one of the windows of the lab. Rains come inside the lab.,NA
2026-01-19 7:28:17,241,R_81yeGdwQrRPpagr,5.5545,-0.1902,Richard,NA,NA,NA,Akwanserem,"MGR/Charging Maintenance, Student Survey Team Visit",NA,"MGR/Charging Maintenance, Student Survey Team Visit",NA,The charging station/solar needed to be fixed,NA,"Yes, all problems were resolved",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The school is doing in student organizations and helping them realize the true potential,They are still struggling with the lantern program,NA,Lantern program is working well as it should. I met with the teachers and oriented them again.
2026-01-20 3:40:35,308,R_9EOI6lhlgTlcRpm,5.5545,-0.1902,Richard,NA,NA,NA,Ntomem,"Routine Visit, Science Kit Training/Distribution, Student Survey Team Visit",NA,"Routine Visit, Science Kit Training/Distribution, Student Survey Team Visit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,4,Yes,21,The school is doing well in running all of our programs. Especially with use of science kits. Lantern program has also been effective managed,Due to large of students they have resorted to running the lantern program only for the JHS.,NA,NA
2026-01-21 4:50:05,140,R_gyUH1cWovolcGnA,5.5545,-0.1902,Richard,NA,NA,NA,Essam,Routine Visit,NA,"Routine Visit, Student Survey Team Visit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Student population is on the increase,Enrollment,NA,The school is beginning to rise up. Enrollment is still increasing. I saw two students being admitted
2026-01-20 4:18:20,295,R_44gXpLJyuju4HGM,5.5545,-0.1902,Alex,NA,"Peace, Akuvi",NA,Anamenampa,"Routine Visit, MGR/Charging Maintenance",NA,"MGR/Charging Maintenance, Lantern Replacement, Menstrual Kit Distribution, Science Kit Training/Distribution",NA,Other:,Repositioning,"Yes, all problems were resolved",NA,NA,Yes,5,Broken,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Yes,3,Yes,5,They are doing in all our programs,Library,No,They are cooperating
2026-01-21 4:30:44,600,R_3KLPRzJ3TnzyZY0,5.5545,-0.1902,Alex,NA,"Peace, Akuvi",NA,Wurudu Wurudu,"Routine Visit, Computer Maintenance, Menstrual Kit Distribution",NA,"Routine Visit, Computer Maintenance, Menstrual Kit Distribution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,One or more monitors would not turn on (computer was fine),NA,"Yes, it is all functioning",NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,The staff are cooperative,The computer lab doubles as a staff common room,No,NA
2026-01-22 4:03:19,110,R_95oEN2xJgFHVKqq,5.5545,-0.1902,Alex,NA,"Peace, Akuvi",NA,Mamakrom,Routine Visit,NA,"Lantern Replacement, Menstrual Kit Distribution, Science Kit Training/Distribution",NA,NA,NA,NA,NA,NA,Yes,6,Broken,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Yes,4,Yes,2,They are doing well with all our programs,None,No,None
2026-01-21 4:45:29,3712,R_bc5EFm1TEe4qtjX,5.5545,-0.1902,Alex,NA,"Peace, Akuvi",NA,Fawotrikosie,Routine Visit,NA,"Computer Maintenance, Menstrual Kit Distribution, Computer Training, Science Kit Training/Distribution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The RACHEL was not functioning,NA,"Yes, but I had to replace the RACHEL",NA,NA,NA,Help them understand the benefits of Rachel device,2,No,NA,1,No,NA,Yes,3,They are will doing well with all our programs,None,None,None
2026-01-23 3:19:01,175,R_2A7FuS3GTSLgAs1,5.5545,-0.1902,Alex,NA,"Peace, Akuvi",NA,Anamenampa,Other:,Delivery of Library books,Other:,Delivery of Library books,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,All our programs,None,No,None
2026-01-26 5:08:58,117,R_idViDiMfYTCXwK4,5.5545,-0.1902,Richard,NA,NA,NA,Wekpeti Abresu,"Science Kit Training/Distribution, Student Survey Team Visit",NA,"Science Kit Training/Distribution, Student Survey Team Visit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,12,The  school been doing well with the science kits program.,NA,NA,There new teachers who aren’t acquainted with the science kits. Therefore a teacher training was scheduled
2026-01-26 3:36:52,284,R_olQ5Yv5r6UiEsB9,5.5545,-0.1902,Richard,NA,NA,NA,Ekorso Akwadum,"Computer Maintenance, Science Kit Training/Distribution, Student Survey Team Visit",NA,"Computer Maintenance, Computer Training, Science Kit Training/Distribution, Student Survey Team Visit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"One or more computers were not working/turning on, One or more computers would not connect to the RACHEL",NA,"No, I took the computer with me for it to be fixed, and will have to bring it back",NA,1,NA,How to use the Rachel device and helping students use the computer for other lessons,8,Yes,"There 18 students ,10 boys and 8 girl from the basic 8 class. They were invited because of a current need them use the Rachel to perform research for their incoming exams",NA,No,NA,Yes,13,The use of computer has increased dramatically since the beginning of the term.,The usage of the science kits is low.,NA,NA
2026-01-22 3:20:49,123,R_87lLtjTv5XJD2aT,5.5545,-0.1902,Richard,NA,NA,NA,Mansokwa,"Routine Visit, MGR/Charging Maintenance, Science Kit Training/Distribution, Student Survey Team Visit",NA,"Routine Visit, Science Kit Training/Distribution, Student Survey Team Visit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,11,The school is doing well with all our programs especially the lantern program. Good records are kept and follow up is being made.,The usage of science kits.,NA,NA
2026-01-27 2:41:45,664,R_iWuTaPFKglFVhmz,5.5545,-0.1902,Alex,NA,Peace,NA,Mampong Shai,Routine Visit,NA,Routine Visit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,They are doing well in all our programs,No,No,No
2026-01-27 3:13:13,957,R_7KhwjrfibX7poP8,6.6816,-1.6221,Alex,NA,Peace,NA,Dedenya,Routine Visit,NA,Computer Maintenance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No, I took the computer with me for it to be fixed, and will have to bring it back",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,They all doing well in all our programs,None,No,No
2026-01-27 3:54:28,152,R_nUsyl4KjRDQ5WMa,5.5545,-0.1902,Richard,NA,NA,NA,Tun Tun,"Routine Visit, MGR/Charging Maintenance, Science Kit Training/Distribution",NA,"MGR/Charging Maintenance, Science Kit Training/Distribution, Student Survey Team Visit",NA,The charging station/solar needed to be fixed,NA,"Yes, all problems were resolved",Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,16,Teaching and learning is actively on course. The have so kept the lantern program very well. The use of science kits improve so far.,NA,NA,NA
2026-01-27 5:51:11,611,R_oMju2z4AGoQHvn8,5.5545,-0.1902,Richard,NA,NA,NA,Tun Tun,"Routine Visit, MGR/Charging Maintenance",NA,"Routine Visit, MGR/Charging Maintenance, Science Kit Training/Distribution, Student Survey Team Visit",NA,The charging station/solar needed to be fixed,NA,"No, I need other supplies and will have to come back another day",No,Two of the charging port re damage and needs to be replaced,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,18,The school is doing well in students organization. They are helping to students improve upon their academic performance as they prepare them for BECE,Lantern groups,Parent teacher meeting to help the parents understand the lantern program,NA
2026-01-28 4:20:02,164,R_nEOt5uX6NdUTymM,5.5545,-0.1902,Alex,NA,"Peace, Akuvi",NA,Nyapienya,"MGR/Charging Maintenance, Menstrual Kit Distribution",NA,MGR/Charging Maintenance,NA,"The charging station/solar needed to be fixed, Other:",Replacing the battery,"Yes, all problems were resolved",Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,All the programs,Library,No,NA
2026-01-29 4:44:53,144,R_gsRf1mqgYuPYHiY,5.5545,-0.1902,Alex,NA,"Peace, Akuvi",NA,Dedenya,Routine Visit,NA,"Computer Maintenance, Other:",Library books distribution,NA,NA,NA,NA,NA,NA,NA,NA,NA,One or more computers were not working/turning on,NA,"Yes, but I had to replace a computer",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,They are doing well in all our programs,None,No,No
2026-01-26 5:10:59,NA,R_5jfCHFZbbUWVKXV,5.5545,-0.1902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-01-30 6:00:44,136,R_9HHbMOXzrUKFJd1,5.5545,-0.1902,Alex,NA,"Peace, Akuvi",NA,Luta,"MGR/Charging Maintenance, Computer Maintenance",NA,"MGR/Charging Maintenance, Computer Maintenance",NA,Other:,Broken legs,"Yes, all problems were resolved",NA,NA,NA,NA,NA,NA,One or more computers were not working/turning on,NA,"Yes, it is all functioning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,All our programs are doing t,None,No,No
2026-02-10 3:48:50,948,R_fGTBKxBEQdr4lkt,5.5545,-0.1902,Alex,NA,"Peace, Akuvi",NA,Oyoko,Computer Maintenance,NA,Computer Maintenance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"One or more computers were not working/turning on, One or more monitors would not turn on (computer was fine), Other:",Replace three receivers,"No, I took the computer with me for it to be fixed, and will have to bring it back",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,They are doing well with all our programs,None,No,No
2026-02-10 5:52:30,147,R_hsiHhPlQfoHWiQt,5.5545,-0.1902,Alex,NA,"Isaac, Peace, Akuvi",NA,Mpaem,Computer Maintenance,NA,Computer Maintenance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"One or more monitors would not turn on (computer was fine), Other:",Replaced 10receivers,"No, I didn't have the materials/tools needed and will have to come back again",NA,NA,"Mouse, vga cables and keyboards",NA,NA,NA,NA,NA,NA,NA,NA,NA,They are doing well with all our programs,None,No,No
2026-02-11 3:51:39,277,R_jmVTOwWtTTzfZdL,5.5545,-0.1902,Alex,NA,"Peace, Akuvi, Other",Vincent,Attabui,Computer Maintenance,NA,"Computer Maintenance, Computer Training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The RACHEL was not functioning, One or more computers would not connect to the RACHEL, Other:",Replace 4 receivers,"Yes, but I had to replace the RACHEL",NA,NA,NA,Blowing dust and servicing the system unites,2,No,NA,NA,NA,NA,NA,NA,They are doing well with all our programs,No,No,No
2026-02-12 5:54:33,237,R_f2hZpBC54Pcl9w9,5.5545,-0.1902,Alex,NA,"Isaac, Peace, Akuvi",NA,Afransua Dedewa MA Primary,Computer Maintenance,NA,"Computer Maintenance, Computer Training, Other:",Computer lab restoration,NA,NA,NA,NA,NA,NA,NA,NA,NA,The RACHEL was not functioning,NA,"Yes, but I had to replace the RACHEL",NA,NA,NA,Understand and using RACHEL,2,No,NA,NA,NA,NA,NA,NA,They are doing well with all our programs,None,No,No
2026-02-16 4:28:54,173,R_26tYwjAZQhY2sRF,5.5545,-0.1902,Alex,NA,"Isaac, Peace, Akuvi, Other",Vincent,Wurudu Wurudu,"Routine Visit, Computer Maintenance",NA,"Routine Visit, Computer Maintenance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,One or more computers were not working/turning on,NA,"No, I took the computer with me for it to be fixed, and will have to bring it back",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,They are doing well in our programs,None,No,No
2026-02-16 6:15:56,133,R_dQrVembZNQfvTN7,5.5545,-0.1902,Alex,NA,"Peace, Akuvi, Other",Vincent,Fawotrikosie,"Computer Maintenance, Computer Training",NA,"Computer Maintenance, Computer Training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The RACHEL was not functioning, One or more monitors would not turn on (computer was fine)",NA,"Yes, but I had to replace the RACHEL",NA,NA,NA,Rachel usage and maintenance,2,No,NA,NA,NA,NA,NA,NA,They are doing well in all our programs,None,No,No
2026-02-17 6:23:46,241,R_jDcv8Zc6IG1bSqF,5.5545,-0.1902,Alex,NA,"Peace, Akuvi",NA,Amuyaokope,Other:,Library books donations,"Computer Maintenance, Computer Training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The RACHEL was not functioning, One or more computers would not connect to the RACHEL, Other:",Replaced 10 receivers,"Yes, but I had to replace the RACHEL",NA,NA,NA,Rachel,2,No,NA,NA,NA,NA,NA,NA,They are doing well with all our programs,None,No,No
2026-02-19 4:10:39,1011,R_oKB5v3906nyNeVQ,5.5545,-0.1902,Alex,NA,"Peace, Akuvi",NA,Afransua Dedewa MA Primary,"Routine Visit, Other:",Donated Library books,Menstrual Kit Distribution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,They are doing well with all our programs,None,No,No
2026-02-10 2:42:39,159,R_mPq2bX3UlZBC4a4,5.5545,-0.1902,Richard,NA,NA,NA,Mobia,Lantern Replacement,NA,"Lantern Replacement, Science Kit Training/Distribution",NA,NA,NA,NA,NA,NA,Yes,5,Broken,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,4,They are doing well in all of our programs especially the use of science kits and a teaching aid.,The need of more teachers to help coordinate the other classes,NA,NA
2026-02-24 2:33:40,174,R_d23BE1iVs5r8Qiw,5.5545,-0.1902,Alex,NA,"Peace, Akuvi",NA,Attabui,"Routine Visit, Computer Maintenance",NA,"Computer Maintenance, Menstrual Kit Distribution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,One or more monitors would not turn on (computer was fine),NA,"Yes, it is all functioning",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,They are doing well,None,No,No
2026-02-24 3:11:50,104,R_cXkdRNmPL0gpsQF,5.5545,-0.1902,Alex,NA,"Peace, Akuvi",NA,Adenya,"Menstrual Kit Distribution, Computer Training",NA,"Menstrual Kit Distribution, Science Kit Training/Distribution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,No,NA,Yes,2,They are doing well,None,No,No
2026-02-24 3:28:01,36,R_iWOVBvYlN7BYfTO,5.5545,-0.1902,Alex,NA,"Peace, Akuvi",NA,Adenya,Menstrual Kit Distribution,NA,Menstrual Kit Distribution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
2026-02-24 3:31:21,32,R_hCVmOycKEY1twi9,5.5545,-0.1902,Alex,NA,"Peace, Akuvi",NA,Adenya,Routine Visit,NA,Menstrual Kit Distribution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
2026-02-25 6:25:32,49,R_jvManeg8ScIsU6s,5.5545,-0.1902,Alex,NA,"Peace, Akuvi",NA,Anamenampa,Routine Visit,NA,Other:,We visited with academic city students,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-02-12 4:14:41,127,R_j3fYRmQertrjB1M,8.1,-1.2,Richard,NA,NA,NA,Ekorso Akwadum,Computer Maintenance,NA,Computer Maintenance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The RACHEL was not functioning, One or more computers would not connect to the RACHEL",NA,"Yes, it is all functioning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The use of computer lab is highly commendable,Teachers using the same room as staff common room,They are relocating to a new rooms shortly,NA
